,P,Q,W,E,R,Historia,PD,QD,WD,ED,RD
Aatrox,Aspecto de la muerte,La Espada de los Oscuros,Cadenas infernales,Deslizamiento sombrío,El Aniquilador de mundos,"Aatrox y sus hermanos, otrora respetados defensores de Shurima contra el Vacío, acabarían convirtiéndose en una amenaza aún mayor para Runaterra y solo conocieron la derrota ante el uso astuto de hechizos mortales. No obstante, tras siglos de reclusión...<!-- --> <button data-testid=""overview:seemorebutton","De forma periódica, el siguiente ataque básico de Aatrox inflige daño físico adicional y cura a Aatrox en función de la vida máxima del objetivo. ","Aatrox golpea con su espadón e inflige daño físico. Puede atacar tres veces, cada vez con un área de efecto distinta.","Aatrox golpea el suelo, lo que inflige daño al primer enemigo impactado. Los campeones y monstruos grandes deben abandonar el área de impacto rápidamente para evitar ser arrastrados hacia el centro y volver a recibir daño.","Aatrox se cura de forma pasiva cuando inflige daño a campeones enemigos. Al activarse, se desliza en una dirección.","Aatrox libera su forma demoníaca, lo que aterroriza a los súbditos enemigos cercanos, además de aumentar su daño de ataque, curación y velocidad de movimiento. Si consigue un asesinato o asistencia, la duración de este efecto se alarga."
Ahri,Robo de esencias,Orbe del engaño,Fuego zorruno,Hechizar,Impulso espiritual,"Ahri es una raposa vastaya conectada de forma innata a la magia del reino de los espíritus. Es capaz de manipular las emociones de su presa antes de consumir su esencia, proceso que le transmite los recuerdos de cada alma que consume. Otrora una...<!-- --> <button data-testid=""overview:seemorebutton","Ahri se cura tras matar a 9 súbditos o monstruos.
Ahri se cura más cantidad tras eliminar a un campeón enemigo.","Ahri lanza y recupera su orbe, lo que inflige daño mágico al lanzarlo y daño verdadero al recuperarlo. ",Ahri obtiene una breve mejora de velocidad de movimiento y lanza tres fuegos zorrunos que fijan y atacan a los enemigos cercanos.,"Ahri lanza un beso que daña y hechiza al enemigo al que alcance primero, con lo que cancela instantáneamente todas sus habilidades de movimiento y hace que avance hacia ella de forma inofensiva.",Ahri se desliza hacia delante y libera rayos de esencia que infligen daño a los enemigos cercanos. Impulso espiritual puede usarse hasta tres veces antes de entrar en enfriamiento y las eliminaciones de campeones enemigos otorgan lanzamientos adicionales.
Akali,Marca del asesino,Pleno de cinco puntas,Velo del crepúsculo,Voltereta shuriken,Ejecución perfecta,"Tras abandonar la orden de los Kinkou y su título de Puño de la Sombra, Akali actúa ahora en solitario y está lista para convertirse en el arma mortal que necesita su gente. Aunque no renuncia a las enseñanzas de Shen, su maestro, ha jurado defender...<!-- --> <button data-testid=""overview:seemorebutton",Infligir daño de hechizo a un campeón crea un anillo de energía a su alrededor. Salir del anillo potencia el próximo ataque de Akali con alcance y daño adicional.,Akali lanza cinco kunais que ralentizan e infligen daño en función de su daño de ataque y poder de habilidad adicionales.,"Akali lanza una cortina de humo y obtiene brevemente velocidad de movimiento. Mientras se encuentra dentro del área, Akali se vuelve invisible, no puede ser seleccionada como objetivo de hechizos ni ataques enemigos. Si ataca o usa habilidades, se revela durante unos instantes.  ",Da una voltereta hacia atrás y lanza un shuriken hacia adelante que inflige daño mágico. La primera nube de humo o enemigo golpeado queda marcado. Puede volver a usarse para desplazarse hasta el objetivo marcado e infligir daño adicional.,Akali salta hacia una dirección y daña a los enemigos golpeados. Relanzamiento: Akali se desliza hacia una dirección y ejecuta a todos los enemigos golpeados.
Akshan,Artimañas,Bumerán vengador,Rebelde,Balanceo heroico,Merecido,"Impávido ante el peligro, Akshan combate el mal con gran carisma, ganas de impartir justa venganza y una evidente falta de camisetas. Domina el arte del combate sigiloso, por lo que es capaz de desaparecer a los ojos de sus enemigos y volver a aparecer...<!-- --> <button data-testid=""overview:seemorebutton","Cada tres impactos de ataques y habilidades contra campeones, Akshan inflige daño adicional y obtiene un escudo.

Cuando Akshan ataca, lanza un ataque adicional que inflige daño reducido. Si cancela el ataque adicional, obtiene velocidad de movimiento.","Akshan lanza un bumerán que inflige daño a la ida y a la vuelta. Además, su alcance aumenta con cada enemigo golpeado.","Akshan marca de forma pasiva a los campeones enemigos como canallas cuando matan a sus aliados. Si Akshan mata a un canalla, revive a los aliados que haya asesinado, obtiene oro adicional y elimina todas las marcas.

Al activarse, Akshan entra en estado de camuflaje y obtiene velocidad de movimiento y regeneración de maná mientras se mueve hacia los canallas. Akshan pierde el camuflaje rápidamente mientras no está en la maleza o cerca de un obstáculo del terreno.",Akshan lanza un gancho hacia un obstáculo del terreno y ataca repetidamente al enemigo más cercano conforme se balancea. Se puede soltar de la cuerda cuando quiera o al chocar contra campeones u obstáculo del terreno.,"Akshan fija a un campeón enemigo como objetivo y empieza a acumular balas. Cuando se lanza la habilidad, dispara todas las balas acumuladas, lo que inflige daño según la vida que le falte al primer campeón, súbdito o estructura golpeados."
Alistar,Rugido triunfal,Pulverización,Testarazo,Pisotear,Voluntad inquebrantable,"Alistar, un poderoso guerrero con una reputación temible, busca venganza por la muerte de su clan a manos del imperio noxiano. Aunque fue esclavizado y forzado a vivir como gladiador, fue su voluntad inquebrantable lo que le impidió convertirse en una...<!-- --> <button data-testid=""overview:seemorebutton","Alistar carga su rugido al aturdir o desplazar a campeones enemigos o cuando los enemigos cercanos mueren. Cuando está cargado al máximo, se cura a sí mismo y a los campeones aliados cercanos.","Alistar golpea con fuerza el suelo, lo que inflige daño a los enemigos cercanos y los lanza por los aires.","Alistar propina un cabezazo al objetivo, dañándolo y haciéndolo retroceder.","Alistar pisotea a las unidades enemigas cercanas, ignora la colisión con unidades y obtiene acumulaciones si daña a un campeón enemigo. Con el máximo de acumulaciones, el siguiente ataque básico de Alistar contra un campeón enemigo inflige daño mágico adicional y lo aturde.",Alistar profiere un gran rugido con el que elimina todos los efectos de control de adversario que le afectan y reduce el daño físico y mágico recibido mientras dura el efecto.
Amumu,Toque maldito,Lanzamiento de vendas,Desesperación,Berrinche,Maldición de la momia triste,"Cuenta la leyenda que Amumu es un alma solitaria y melancólica de la vieja Shurima que vaga por el mundo en busca de un amigo. Condenado por una maldición ancestral, su destino es permanecer solo para siempre, pues su tacto es muerte y su cariño, la...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques básicos de Amumu aplican una maldición a sus enemigos, lo que provoca que reciban daño verdadero adicional cada vez que se les inflige daño mágico.","Amumu lanza una venda adhesiva a un objetivo, causándole daño y aturdimiento mientras se acerca a él.","Abrumados por la angustia, los enemigos cercanos pierden cada segundo un porcentaje de su vida máxima y regeneran sus Maldiciones.","Reduce permanentemente el daño físico que recibe Amumu. Amumu puede desatar su furia para infligir daño a enemigos cercanos. Cada vez que recibe un golpe, se reduce el enfriamiento de Berrinche.","Amumu envuelve en vendas a las unidades enemigas cercanas, les aplica su Maldición, les inflige daño y las aturde."
Anivia,Renacimiento,Destello helado,Cristalización,Congelación,Tormenta glacial,"Anivia es un espíritu alado benevolente que soporta ciclos interminables de vida, muerte y nacimiento para proteger Freljord. Semidiosa nacida del hielo implacable y los vientos crueles, canaliza estos poderes elementales para anular a cualquiera que se...<!-- --> <button data-testid=""overview:seemorebutton","Al recibir daño letal, Anivia vuelve a su estado de huevo y renace con toda la vida.","Anivia junta las alas e invoca una esfera de hielo que vuela hacia sus enemigos, de modo que enfría y daña a cualquiera que se cruce en su camino. Al explotar, la esfera inflige daño moderado en un radio y aturde a los que se encuentren en la zona.",Anivia condensa la humedad del aire en un muro de hielo infranqueable que bloquea todos los movimientos. El muro aguanta un breve periodo de tiempo antes de derretirse.,"Con un aleteo, Anivia lanza una ráfaga de viento congelado a su objetivo, lo que inflige daño. Si hace poco que el objetivo ha sido golpeado por Destello helado o dañado por una Tormenta glacial completamente formada, recibe el doble de daño.",Anivia invoca una lluvia de hielo y granizo que daña a sus enemigos y dificulta su movimiento.
Annie,Piromanía,Desintegración,Incineración,Escudo fundido,Invocar: Tibbers,"Peligrosa pero encantadoramente precoz, Annie es una pequeña maga con un inmenso poder piromántico. Incluso en los parajes montañosos al norte de Noxus es una hechicera sin precedentes. Su afinidad natural con el fuego se manifestó a temprana edad en...<!-- --> <button data-testid=""overview:seemorebutton","Después de 4 lanzamientos, el siguiente hechizo ofensivo de Annie aturdirá al objetivo.

Annie comienza la partida y reaparece con Piromanía disponible.",Annie lanza una bola de fuego imbuida de maná que daña al objetivo y le devuelve el maná gastado si este resulta destruido.,"Annie lanza un abrasador cono de fuego, dañando a todos los enemigos de la zona.","Otorga a Annie o a un aliado un escudo y velocidad de movimiento adicional de forma temporal, y daña a los enemigos que le inflijan daño con ataques o hechizos.","Annie da vida a su oso Tibbers, que daña a todas las unidades de la zona. Tibbers puede atacar y quemar a los enemigos adyacentes."
Aphelios,El Asesino y la Vidente,Habilidades de las armas,Fase,Sistema de cola de armas,Vigilia lunar,"Aphelios emerge de entre las sombras de la noche con armas en mano y asesina a los enemigos de su fe en un silencio inquietante, hablando a tiro limpio únicamente a través de la certitud de su puntería. Un veneno que le impide hablar se encarga de...<!-- --> <button data-testid=""overview:seemorebutton","Aphelios empuña cinco armas de los Lunari creadas por su hermana Alune. Tiene acceso a dos a la vez, una como arma principal y otra como secundaria. Cada arma tiene un ataque básico y una habilidad únicos. Los ataques y las habilidades consumen la munición del arma. Cuando se queda sin munición, Aphelios descarta el arma y Alune invoca la siguiente de las 5. ","Aphelios cuenta con 5 habilidades activas diferentes, en función del arma principal que tenga equipada:

Calibrum (rifle): Disparo de largo alcance que marca a su objetivo para realizar un ataque consecutivo también a largo alcance.
Severum (revólver guadaña): Corre mientras ataca a los enemigos cercanos con ambas armas.
Gravitum (cañón): Inmoviliza a todos los enemigos ralentizados por esta arma.
Infernum (lanzallamas): Impacta contra los enemigos en un arco y ataca con el arma secundaria.
Crescendum (chakram): Despliega un centinela que dispara con el arma secundaria.
","Aphelios cambia su arma principal por el arma secundaria, lo que reemplaza sus ataques básicos y su habilidad activa.","Aphelios no tiene tercera habilidad. Esta ranura muestra la siguiente arma que Alune le dará. Al comienzo, el orden de las armas es fijo, pero puede cambiar durante la partida: cuando un arma se queda sin munición, pasa a ser la última.",Dispara un rayo de luz lunar concentrado que explota al golpear a campeones enemigos. Aplica el efecto único del arma principal de Aphelios.
Ashe,Tiro congelador,Concentración máxima,Descarga,Disparo de halcón,Flecha de cristal encantada,"Ashe, comandante hija del hielo de la tribu de Avarosa, lidera las hordas más numerosas del norte. Impasible, inteligente e idealista, aunque incómoda en su papel de líder, utiliza los poderes mágicos ancestrales de su linaje para empuñar un arco de...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques de Ashe ralentizan a sus objetivos, aumentando el subsiguiente daño que les inflija.

Los golpes críticos de Ashe no infligen daño adicional al objetivo pero le aplican una ralentización más potente.","Ashe acumula Concentración al atacar. Al alcanzar el nivel máximo, Ashe puede lanzar Concentración máxima para consumir todas las acumulaciones, aumentar temporalmente su velocidad de ataque y transformar su ataque básico en un poderoso ataque de ráfaga durante unos instantes.",Ashe dispara flechas en un cono para causar más daño. También aplica Tiro congelador.,Ashe puede enviar su Espíritu Halcón en misión de exploración para reconocer el terreno.,"Ashe dispara un proyectil de hielo en línea recta. Si la flecha impacta contra un campeón enemigo, le inflige daño y aturde según la distancia que haya recorrido la flecha. Además, las unidades enemigas circundantes reciben daño y se ralentizan."
Aurelion Sol,Creador cósmico,El aliento de los dioses,Vuelo astral,Singularidad,Estrella fugaz / Ocaso celeste,"Aurelion Sol solía agraciar al vasto vacío del cosmos con las maravillas celestiales que él mismo ideaba. Ahora, se ve forzado a hacer uso de su increíble poder para satisfacer los deseos de un imperio espacial que lo ha engañado para convertirlo en su...<!-- --> <button data-testid=""overview:seemorebutton","Las habilidades de daño de Aurelion Sol cosechan acumulaciones de polvo estelar de sus enemigos, lo que mejora permanentemente cada habilidad. ","Aurelion Sol canaliza su aliento de dragón durante unos segundos, lo que inflige daño al primer enemigo golpeado y daño reducido a los enemigos cercanos. Cada segundo que el aliento se canalice directamente a un enemigo, infligirá daño adicional, que mejora según la cantidad de polvo estelar conseguido. Esta habilidad otorga polvo estelar si el objetivo es un campeón.","Aurelion Sol sobrevuela el terreno en la dirección indicada. En este estado, puede lanzar otras habilidades. El aliento de los dioses ya no tiene enfriamiento, la puede canalizar sin límite de tiempo e inflige daño adicional mientras vuela. El enfriamiento restante de Vuelo astral se reduce cada vez que muere un campeón tras recibir daño de Aurelion Sol. El polvo estelar aumenta el alcance máximo de Vuelo astral.","Aurelion Sol invoca un agujero negro, lo que inflige daño a los enemigos y los atrae lentamente hacia su centro. Esta habilidad otorga polvo estelar cada vez que muere un enemigo en el agujero negro y por cada segundo que haya un campeón enemigo en su interior. El centro del agujero negro ejecuta a los enemigos que estén por debajo de cierto porcentaje de su vida máxima. El polvo estelar aumenta la zona de Singularidad y el umbral de ejecución.","Estrella fugaz: Aurelion Sol provoca que una estrella se estampe contra el suelo. Este impacto inflige daño mágico y aturde a los enemigos. Además, otorga polvo estelar por cada campeón golpeado. Al acumular suficiente Polvo estelar, Estrella fugaz se transformará en Ocaso celeste la próxima vez que se utilice. Ocaso celeste: Aurelion Sol lanza una gigantesca estrella con un área de impacto aumentado, potencia el daño infligido y lanza a los enemigos por los aires, en lugar de aturdirlos. Después, emite una enorme onda de choque desde los bordes del área de impacto, lo que inflige daño y ralentiza a los campeones golpeados. El polvo estelar aumenta el área de impacto de Estrella fugaz y Ocaso celeste."
Azir,Legado de Shurima,Arenas conquistadoras,¡Alzaos!,Arenas movedizas,Falange imperial,"Azir, emperador de Shurima en un pasado remoto, fue un hombre orgulloso que estuvo a punto de alcanzar la inmortalidad. Dominado por la arrogancia, fue traicionado y asesinado en la hora de su mayor triunfo, pero ahora, milenios después, ha renacido...<!-- --> <button data-testid=""overview:seemorebutton",Azir puede invocar el Disco solar sobre las ruinas de una torreta aliada o enemiga.,Azir envía a todos los soldados de arena hacia un punto. Los soldados de arena infligen daño mágico a los enemigos que atraviesan y además aplican un efecto de ralentización durante 1 s.,"Azir invoca a un soldado de arena para que ataque a los objetivos cercanos por él. El ataque básico de estos soldados reemplaza el suyo contra todos los enemigos que estén a su alcance. Su ataque inflige daño mágico a todos los enemigos situados en una línea. Además, ¡Alzaos! otorga velocidad de ataque de manera pasiva a Azir y a sus soldados de arena.","Azir se protege con un escudo durante unos instantes, se desliza hacia uno de sus soldados de arena y daña a los enemigos en su movimiento. Si golpea a un campeón enemigo, prepara inmediatamente un nuevo soldado de arena y detiene su deslizamiento.","Azir invoca un muro de soldados que, con una carga hacia delante, infligen daño y derriban al enemigo."
Bardo,Llamada del viajero,Cadenas cósmicas,Santuario del protector,Periplo mágico,Destino maleable,"Bardo, un viajero de más allá de las estrellas, es un agente de la serendipia que lucha para mantener un equilibrio en el que la vida pueda soportar la indiferencia del caos. Muchos habitantes de Runaterra cantan canciones que hablan de su naturaleza...<!-- --> <button data-testid=""overview:seemorebutton","Meeps: Bardo atrae a unos espíritus menores que aumentan la potencia de sus ataques básicos para infligir daño mágico adicional. Cuando Bardo haya recogido suficientes campanas, sus meeps también infligirán daño en área y ralentizarán a los enemigos golpeados.

Campanas: Aparecen campanas antiguas al azar que Bardo puede recoger. Otorgan experiencia, restauran maná y otorgan velocidad de movimiento fuera de combate.","Bardo dispara un proyectil que ralentiza al primer enemigo alcanzado, antes de seguir su trayectoria. A partir de ahí, si golpea un muro, el objetivo inicial queda aturdido. Si golpea a otro enemigo, los dos sufren el efecto.","Hace aparecer un santuario de vida. El santuario, que tarda unos segundos en cargarse a plena potencia, desaparece después de curar y aumentar la velocidad al primer aliado que lo toca.","Bardo abre un portal en un obstáculo del terreno cercano. Tanto sus aliados como sus enemigos pueden atravesarlo para cruzar al otro lado, pero solo funciona en un sentido.","Bardo lanza su energía espiritual a un objetivo, dejando en estasis a todas las unidades y torretas de la zona durante breve tiempo."
Bel'Veth,Muerte en lavanda ,Oleada del Vacío,Arriba y abajo,Vorágine real,Banquete infinito,"Una emperatriz horripilante creada a partir de los materiales de la ciudad que devoró. Bel'Veth representa el mismísimo fin de Runaterra tal y como la conocemos... y marca el comienzo de una monstruosa realidad creada a su imagen y semejanza. Impulsada...<!-- --> <button data-testid=""overview:seemorebutton","Bel'Veth obtiene acumulaciones permanentes de velocidad de ataque tras acabar con súbditos grandes, monstruos gigantes y campeones. También obtiene velocidad de ataque adicional de forma temporal tras usar una habilidad.",Bel'Veth se desliza en la dirección elegida y daña a todos los enemigos a los que atraviesa.,"Bel'Veth golpea el suelo, lo que inflige daño, lanza por los aires y ralentiza a sus enemigos.","Bel'Veth se queda inmóvil y canaliza una tormenta de cortes a su alrededor que selecciona como objetivo al enemigo con menos vida. Además, le otorga robo de vida y reducción de daño.","Bel'Veth consume restos de coral del Vacío, adopta su verdadera forma y aumenta su vida máxima, alcance de ataque, velocidad de ataque y velocidad de movimiento fuera de combate. Consumir restos de coral del Vacío de un monstruo épico del Vacío le otorgará más duración de la definitiva, además de poder invocar rémoras del Vacío."
Blitzcrank,Barrera de maná,Agarre misil,Sobrecarga,Puño de poder,Campo estático,"Blitzcrank es un autómata enorme, casi indestructible, creado originalmente para el tratamiento de residuos tóxicos. Sin embargo, este propósito original le parecía demasiado restrictivo, así que se automodificó para servir mejor a los débiles del...<!-- --> <button data-testid=""overview:seemorebutton","Cuando le queda poca vida, Blitzcrank obtiene un escudo en función de su maná.","Blitzcrank dispara su mano derecha para apresar a un rival que encuentre en su camino, le inflige daño y lo atrae hacia él.",Blitzcrank se sobrecarga para aumentar drásticamente su velocidad de movimiento y su velocidad de ataque. Se ve ralentizado temporalmente cuando termina el efecto.,Blitzcrank carga su puño para que su siguiente ataque cause el doble de daño y lance al objetivo por los aires.,"Los enemigos a los que Blitzcrank ataca quedan marcados y reciben una descarga eléctrica después de 1 s. Además, Blitzcrank puede activar esta habilidad para eliminar los escudos de los enemigos cercanos, infligirles daño y silenciarlos durante un breve periodo."
Brand,Nube de fuego,Abrasar,Pilar de llamas,Incendio,Detonación ígnea,"Brand, antiguo miembro de la tribu Kegan Rodhe del helado Freljord, es una lección sobre la tentación de un poder mayor. En busca de una de las legendarias Runas Geogénicas, Kegan traicionó a sus compañeros y se quedó con la runa. El hombre desapareció...<!-- --> <button data-testid=""overview:seemorebutton","Los hechizos de Brand prenden fuego a sus objetivos, lo que inflige daño durante 4 s. Puede acumularse hasta 3 veces. Si Brand asesina a un enemigo que esté en llamas, recupera maná. Cuando Nube de fuego alcanza el máximo de acumulaciones en un campeón o monstruo gigante, se vuelve inestable. Explota al cabo de 2 s, aplica efectos de hechizo e inflige una gran cantidad de daño en la zona que rodea a la víctima.","Brand lanza una bola de fuego que inflige daño mágico. Si el objetivo está en llamas, Abrasar lo dejará aturdido durante 1,5 s.","Tras un breve retardo, Brand crea un Pilar de llamas en la ubicación del objetivo que inflige daño mágico a las unidades enemigas dentro de la misma. Las unidades que estén en llamas recibirán un 25% de daño adicional.","Brand lanza un ataque poderoso a su objetivo que se extiende a los enemigos cercanos e inflige daño mágico. Si el objetivo está en llamas, se duplica la propagación de Incendio.","Brand libera un torrente de fuego devastador que rebota hasta 5 veces entre Brand y los enemigos cercanos, e inflige daño mágico a los enemigos cada vez que rebota. Estos rebotes priorizan acumular al máximo Nube de fuego en los campeones. Si un objetivo está en llamas, Detonación ígnea lo ralentizará brevemente."
Braum,Golpes conmocionantes,Mordisco invernal,Detrás de mí,Inquebrantable,Fisura glacial,"Bendecido con bíceps enormes y un corazón aún más grande, Braum es un héroe muy apreciado en Freljord. Todas las tabernas al norte del Fuerte Helado brindan por su fuerza legendaria. Se dice que taló un bosque de robles en una sola noche y convirtió una...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques básicos de Braum aplican Golpes conmocionantes. Cuando se aplique la primera acumulación, los ataques básicos de los aliados también acumulan Golpes conmocionantes. 

Al llegar a 4 acumulaciones, el objetivo queda aturdido y recibe daño mágico. Durante los siguientes segundos no puede recibir acumulaciones, pero recibe daño mágico adicional de los ataques de Braum.","Braum lanza un chorro de gélido hielo desde el escudo que ralentiza y causa daño mágico.

Aplica una acumulación de Golpes conmocionantes.","Braum salta hacia un campeón o súbdito aliado. Al alcanzarlo, ambos obtienen armadura y resistencia mágica durante unos segundos.","Braum alza su escudo en una dirección durante varios segundos e intercepta todos los proyectiles, que lo golpean y son destruidos. Anula por completo el daño del primero y reduce el de los siguientes que llegan desde la misma dirección.",Braum golpea el suelo y lanza por los aires a los enemigos cercanos y situados en una línea delante de él. A lo largo de esta línea se abre una fisura que ralentiza a los enemigos.
